path	width	height	mask
regions/binary/z20_02_g_1-1.tif	5600	5191	regions/binary/z20_02_m_1-1.tif
regions/binary/z20_02_g_1-2.tif	5600	5191	regions/binary/z20_02_m_1-2.tif
regions/binary/z20_02_g_1-3.tif	5600	5191	regions/binary/z20_02_m_1-3.tif
regions/binary/z20_02_g_1-4.tif	5600	5191	regions/binary/z20_02_m_1-4.tif
regions/binary/z20_02_g_2-1.tif	5600	5191	regions/binary/z20_02_m_2-1.tif
regions/binary/z20_02_g_2-2.tif	5600	5191	regions/binary/z20_02_m_2-2.tif
regions/binary/z20_02_g_2-3.tif	5600	5191	regions/binary/z20_02_m_2-3.tif
regions/binary/z20_02_g_2-4.tif	5600	5191	regions/binary/z20_02_m_2-4.tif
regions/binary/z20_02_y_1-1.tif	5600	5191	regions/binary/z20_02_m_1-1.tif
regions/binary/z20_02_y_1-2.tif	5600	5191	regions/binary/z20_02_m_1-2.tif
regions/binary/z20_02_y_1-3.tif	5600	5191	regions/binary/z20_02_m_1-3.tif
regions/binary/z20_02_y_1-4.tif	5600	5191	regions/binary/z20_02_m_1-4.tif
regions/binary/z20_02_y_2-1.tif	5600	5191	regions/binary/z20_02_m_2-1.tif
regions/binary/z20_02_y_2-2.tif	5600	5191	regions/binary/z20_02_m_2-2.tif
regions/binary/z20_02_y_2-3.tif	5600	5191	regions/binary/z20_02_m_2-3.tif
regions/binary/z20_02_y_2-4.tif	5600	5191	regions/binary/z20_02_m_2-4.tif
regions/binary/z20_03_g_1-1.tif	5425	3944	regions/binary/z20_03_m_1-1.tif
regions/binary/z20_03_g_1-2.tif	5425	3944	regions/binary/z20_03_m_1-2.tif
regions/binary/z20_03_y_1-1.tif	5425	3944	regions/binary/z20_03_m_1-1.tif
regions/binary/z20_03_y_1-2.tif	5425	3944	regions/binary/z20_03_m_1-2.tif
regions/binary/z20_04_g_1-1.tif	3516	3142	regions/binary/z20_04_m_1-1.tif
regions/binary/z20_04_g_1-2.tif	3516	3142	regions/binary/z20_04_m_1-2.tif
regions/binary/z20_04_g_2-1.tif	3516	3142	regions/binary/z20_04_m_2-1.tif
regions/binary/z20_04_g_2-2.tif	3516	3142	regions/binary/z20_04_m_2-2.tif
regions/binary/z20_04_y_1-1.tif	3516	3142	regions/binary/z20_04_m_1-1.tif
regions/binary/z20_04_y_1-2.tif	3516	3142	regions/binary/z20_04_m_1-2.tif
regions/binary/z20_04_y_2-1.tif	3516	3142	regions/binary/z20_04_m_2-1.tif
regions/binary/z20_04_y_2-2.tif	3516	3142	regions/binary/z20_04_m_2-2.tif
regions/binary/z20_05_g.tif	3793	2608	regions/binary/z20_05_m.tif
regions/binary/z20_05_y.tif	3793	2608	regions/binary/z20_05_m.tif
